Participant_ID,Entry_Date,Prompt,Response_Text,Emotion_Label,Sentiment_Score,Word_Count,Theme_Code,Device_Used,Environment,Follow_Up_Flag
P0001,2024-01-22,Weekly_Summary,"Overall positive experience, would recommend.",Positive,0.6669741904582498,148.0,Performance,Desktop,Transit,1.0
P0002,2024-01-19,Evening_Reflection,"Overall positive experience, would recommend.",Negative,-1.0,59.0,Value,Mobile,Home,0.0
P0003,2024-01-24,Morning_Routine,,Positive,0.5875049272761966,36.0,Value,Mobile,Other,0.0
P0004,2024-01-26,Morning_Routine,Frustrated with the number of steps required.,Negative,,45.0,Value,Tablet,Office,1.0
P0005,2024-01-14,Weekly_Summary,The design is visually appealing but functionality needs work.,Positive,0.7328240635806402,84.0,Performance,Desktop,Transit,0.0
P0006,2024-01-01,Afternoon_Activity,Found the interface intuitive and easy to navigate.,Positive,0.6799791187624669,47.0,Emotional_Response,Tablet,Transit,0.0
P0007,2024-01-22,Afternoon_Activity,The design is visually appealing but functionality needs work.,Positive,0.9572412257105027,78.0,Value,Tablet,Transit,0.0
P0008,2024-01-18,Morning_Routine,The design is visually appealing but functionality needs work.,Positive,0.8519685512240621,42.0,Emotional_Response,Desktop,Transit,1.0
P0009,2024-01-26,Afternoon_Activity,Frustrated with the number of steps required.,Positive,0.4242772446652398,33.0,Usability,Mobile,Home,0.0
P0010,2024-01-13,Weekly_Summary,"Overall positive experience, would recommend.",Negative,-0.4750748616469666,64.0,Emotional_Response,Mobile,Home,0.0
P0011,2024-01-24,Afternoon_Activity,"Overall positive experience, would recommend.",Negative,-0.6093071285111955,61.0,Emotional_Response,Tablet,Office,0.0
P0012,2024-01-14,Weekly_Summary,The design is visually appealing but functionality needs work.,Mixed,0.10372111422337912,52.0,Value,Tablet,Transit,0.0
P0013,2024-01-07,Morning_Routine,"Overall positive experience, would recommend.",Negative,-0.7061652854093898,42.0,Performance,Mobile,Office,0.0
P0014,2024-01-05,Evening_Reflection,Frustrated with the number of steps required.,Positive,0.7877517140596341,32.0,Value,Mobile,Other,0.0
P0015,2024-01-14,Evening_Reflection,Found the interface intuitive and easy to navigate.,Positive,0.7353961808806783,80.0,Aesthetics,Tablet,Home,0.0
P0016,2024-01-21,Evening_Reflection,Found the interface intuitive and easy to navigate.,Mixed,-0.2158265016068109,48.0,Performance,Tablet,Home,1.0
P0017,2024-01-11,Weekly_Summary,Found the interface intuitive and easy to navigate.,Positive,0.657701669372179,277.0,Value,Desktop,Other,1.0
,2024-01-09,Morning_Routine,Experienced some lag during peak hours.,Mixed,0.33298279098263495,121.0,Usability,,Transit,0.0
P0019,2024-01-28,Weekly_Summary,Frustrated with the number of steps required.,Negative,-0.5175671866970061,122.0,Value,Desktop,Transit,1.0
P0020,2024-01-24,Weekly_Summary,"Overall positive experience, would recommend.",Positive,0.6268517357167178,101.0,Performance,Mobile,Home,
P0021,2024-01-20,Afternoon_Activity,The design is visually appealing but functionality needs work.,Mixed,-0.5697018510626136,,Value,Desktop,Home,0.0
P0022,2024-01-23,Morning_Routine,Found the interface intuitive and easy to navigate.,Negative,-0.8554142919215545,57.0,Value,Mobile,Other,0.0
P0023,2024-01-03,Evening_Reflection,,Mixed,0.6165058413074136,57.0,Performance,Desktop,Transit,0.0
P0024,2024-01-07,Morning_Routine,The design is visually appealing but functionality needs work.,Neutral,0.24311044652511227,172.0,Value,Desktop,Office,1.0
P0025,2024-01-24,Weekly_Summary,Experienced some lag during peak hours.,Mixed,0.06618331960754185,46.0,Aesthetics,Tablet,Other,
P0026,2024-01-20,Evening_Reflection,The design is visually appealing but functionality needs work.,Negative,-0.622306984183072,96.0,Performance,Tablet,Office,0.0
P0027,2024-01-14,Evening_Reflection,Frustrated with the number of steps required.,Positive,0.5712011048163781,92.0,Performance,Mobile,Home,1.0
P0028,2024-01-01,Morning_Routine,"Overall positive experience, would recommend.",Positive,0.9610722834613422,10.0,Value,,Office,1.0
P0029,2024-01-28,,Experienced some lag during peak hours.,Negative,-0.6892811337255736,61.0,Value,Desktop,Transit,0.0
P0030,2024-01-16,Weekly_Summary,Found the interface intuitive and easy to navigate.,Mixed,-0.39856977813739897,183.0,Aesthetics,Desktop,Home,0.0
P0031,2024-01-18,Morning_Routine,Found the interface intuitive and easy to navigate.,Neutral,-0.15501779290992998,20.0,Value,Tablet,Home,0.0
P0032,2024-01-06,Weekly_Summary,"Overall positive experience, would recommend.",Negative,-0.7445269578498218,73.0,Usability,Mobile,Office,1.0
P0033,2024-01-28,Morning_Routine,Frustrated with the number of steps required.,Negative,-0.7550361777798394,106.0,Performance,Mobile,Home,0.0
P0034,2024-01-20,Weekly_Summary,Found the interface intuitive and easy to navigate.,Mixed,0.6083830143812352,50.0,Usability,Tablet,Transit,0.0
P0035,2024-01-05,Afternoon_Activity,Experienced some lag during peak hours.,Positive,1.0,71.0,Usability,,Office,1.0
P0036,2024-01-20,Evening_Reflection,Frustrated with the number of steps required.,Negative,-0.3911891386076212,26.0,Emotional_Response,Tablet,Transit,0.0
P0037,2024-01-07,Evening_Reflection,Frustrated with the number of steps required.,Mixed,-1.0,34.0,Aesthetics,Mobile,Home,1.0
P0038,2024-01-05,Evening_Reflection,The design is visually appealing but functionality needs work.,Mixed,-0.3444267958965784,69.0,Aesthetics,Mobile,Transit,1.0
P0039,2024-01-23,,"Overall positive experience, would recommend.",Positive,0.1036320138946722,24.0,Performance,Desktop,Home,1.0
P0040,2024-01-04,Afternoon_Activity,Experienced some lag during peak hours.,Neutral,0.011952735251664686,10.0,Usability,Mobile,Home,0.0
P0041,2024-01-17,Weekly_Summary,Found the interface intuitive and easy to navigate.,,-0.10362007292287624,94.0,Emotional_Response,Tablet,Office,0.0
P0042,2024-01-27,Weekly_Summary,The design is visually appealing but functionality needs work.,Negative,-1.0,77.0,Aesthetics,Tablet,Transit,0.0
P0043,2024-01-07,Weekly_Summary,Found the interface intuitive and easy to navigate.,Positive,1.0,91.0,Usability,Tablet,Home,0.0
P0044,2024-01-25,Evening_Reflection,The design is visually appealing but functionality needs work.,Positive,0.7893540210768348,56.0,Performance,Desktop,Transit,1.0
P0045,2024-01-30,Afternoon_Activity,Frustrated with the number of steps required.,Negative,-1.0,56.0,Emotional_Response,Tablet,Transit,1.0
P0046,2024-01-03,Evening_Reflection,The design is visually appealing but functionality needs work.,Negative,-0.3004130818275931,78.0,Value,Mobile,Transit,0.0
P0047,2024-01-16,Afternoon_Activity,The design is visually appealing but functionality needs work.,Neutral,-0.19951080829724543,149.0,Aesthetics,Desktop,Office,0.0
P0048,2024-01-23,Afternoon_Activity,Experienced some lag during peak hours.,Neutral,0.1823234850961571,86.0,Usability,Mobile,Other,1.0
P0049,2024-01-17,Weekly_Summary,Found the interface intuitive and easy to navigate.,Positive,0.8860237805730103,26.0,Emotional_Response,Tablet,Home,0.0
P0050,2024-01-02,Afternoon_Activity,The design is visually appealing but functionality needs work.,Negative,-0.792923330178073,52.0,Value,Tablet,Home,0.0
P0051,2024-01-01,Morning_Routine,Experienced some lag during peak hours.,Positive,0.29964415124702576,56.0,Performance,Mobile,Transit,0.0
P0052,2024-01-23,Afternoon_Activity,The design is visually appealing but functionality needs work.,Neutral,0.07794569389719114,106.0,Value,Desktop,Home,0.0
P0053,2024-01-13,Afternoon_Activity,,Neutral,0.03263638903759123,26.0,Usability,Desktop,,0.0
P0054,2024-01-25,Weekly_Summary,Experienced some lag during peak hours.,Mixed,-0.22582245994727507,105.0,Performance,Mobile,Office,0.0
P0055,2024-01-14,Afternoon_Activity,The design is visually appealing but functionality needs work.,Neutral,0.19913197466243843,23.0,Value,Desktop,Office,1.0
P0056,2024-01-16,Evening_Reflection,"Overall positive experience, would recommend.",Mixed,0.07438195049758377,83.0,Emotional_Response,Desktop,Other,0.0
P0057,2024-01-15,Morning_Routine,Frustrated with the number of steps required.,Positive,0.5963973378794734,,Value,Desktop,Home,0.0
P0058,2024-01-16,Evening_Reflection,Frustrated with the number of steps required.,Negative,,8.0,Usability,Mobile,Office,0.0
P0059,2024-01-09,Afternoon_Activity,Frustrated with the number of steps required.,Mixed,0.08547728983038186,46.0,Value,Mobile,Other,0.0
P0060,2024-01-20,Afternoon_Activity,Experienced some lag during peak hours.,Positive,0.9567237481424942,10.0,Usability,Mobile,Other,1.0
P0061,2024-01-07,Evening_Reflection,Found the interface intuitive and easy to navigate.,Positive,0.7251006179579171,122.0,Value,Tablet,Other,1.0
