Participant_ID,Entry_Date,Prompt,Response_Text,Emotion_Label,Sentiment_Score,Word_Count,Theme_Code,Device_Used,Environment,Follow_Up_Flag
P0001,2024-01-27,Weekly_Summary,The design is visually appealing but functionality needs work.,Negative,-1.0,117.0,Performance,Mobile,Other,1.0
P0002,2024-01-10,Afternoon_Activity,The design is visually appealing but functionality needs work.,Positive,0.8333763941845754,117.0,Aesthetics,Desktop,Office,
P0003,2024-01-18,Evening_Reflection,"Overall positive experience, would recommend.",Mixed,-0.5572224305351798,136.0,Value,Mobile,Other,0.0
P0004,2024-01-22,Evening_Reflection,The design is visually appealing but functionality needs work.,Mixed,-0.18111321547140197,95.0,Value,Desktop,Office,1.0
P0005,2024-01-06,Morning_Routine,Frustrated with the number of steps required.,Negative,-0.532075639797656,26.0,,Desktop,Home,0.0
P0006,2024-01-03,,,Mixed,-0.7143921265320785,78.0,Value,Mobile,Transit,0.0
P0007,2024-01-26,Morning_Routine,"Overall positive experience, would recommend.",Neutral,-0.3502698359752908,72.0,,Tablet,Office,0.0
P0008,2024-01-21,Morning_Routine,Frustrated with the number of steps required.,Mixed,-0.2945640412138698,264.0,Value,Mobile,Home,0.0
P0009,2024-01-27,Morning_Routine,The design is visually appealing but functionality needs work.,Positive,0.6296351750868225,36.0,Value,Mobile,Home,
P0010,2024-01-09,Afternoon_Activity,Frustrated with the number of steps required.,Positive,0.8332439603078031,22.0,Performance,Tablet,Other,0.0
P0011,2024-01-01,Weekly_Summary,Experienced some lag during peak hours.,Neutral,-0.16194031349830884,240.0,Performance,Desktop,Other,1.0
,2024-01-10,Evening_Reflection,Experienced some lag during peak hours.,Negative,-0.9004392263123842,143.0,Emotional_Response,Mobile,Home,0.0
P0013,2024-01-26,Morning_Routine,The design is visually appealing but functionality needs work.,Positive,0.7503561612577011,36.0,Performance,Desktop,Other,0.0
P0014,2024-01-08,Evening_Reflection,Experienced some lag during peak hours.,Positive,0.5516394809804688,39.0,Aesthetics,Tablet,Office,0.0
P0015,2024-01-01,Morning_Routine,Found the interface intuitive and easy to navigate.,Positive,0.8678775367134947,86.0,Usability,Tablet,Office,0.0
P0016,2024-01-22,Evening_Reflection,"Overall positive experience, would recommend.",Positive,1.0,23.0,Value,Mobile,Transit,0.0
P0017,2024-01-28,Weekly_Summary,The design is visually appealing but functionality needs work.,Positive,0.2850762957998543,,Emotional_Response,Desktop,Office,0.0
P0018,2024-01-17,Weekly_Summary,The design is visually appealing but functionality needs work.,Positive,0.26701347602212805,24.0,Performance,Desktop,Transit,1.0
P0019,2024-01-26,Morning_Routine,Experienced some lag during peak hours.,Negative,-1.0,18.0,Usability,Mobile,Other,0.0
P0020,2024-01-21,Weekly_Summary,Experienced some lag during peak hours.,Neutral,-0.15965482199532607,36.0,Aesthetics,Desktop,Home,0.0
P0021,2024-01-25,Weekly_Summary,"Overall positive experience, would recommend.",Positive,0.19879515581330698,42.0,Value,Mobile,Office,1.0
P0022,2024-01-05,Weekly_Summary,Frustrated with the number of steps required.,Positive,,36.0,Value,Desktop,Home,1.0
P0023,2024-01-06,Weekly_Summary,The design is visually appealing but functionality needs work.,Mixed,-0.9411893241953571,40.0,Usability,Desktop,Other,0.0
P0024,2024-01-18,Weekly_Summary,The design is visually appealing but functionality needs work.,Negative,-1.0,153.0,Performance,Tablet,Transit,0.0
P0025,2024-01-19,Afternoon_Activity,"Overall positive experience, would recommend.",Negative,-0.7482686445951932,90.0,Emotional_Response,Tablet,Office,0.0
P0026,2024-01-16,Afternoon_Activity,Frustrated with the number of steps required.,Positive,0.6532467982378647,50.0,Aesthetics,Desktop,Other,0.0
P0027,2024-01-01,Weekly_Summary,Frustrated with the number of steps required.,Neutral,-0.14957520168011815,61.0,Value,Desktop,Transit,0.0
P0028,2024-01-03,Afternoon_Activity,Experienced some lag during peak hours.,Negative,-0.505186789839729,61.0,Usability,Tablet,Transit,0.0
P0029,2024-01-07,Evening_Reflection,"Overall positive experience, would recommend.",Neutral,0.5020587091342779,130.0,Emotional_Response,Tablet,Office,
P0030,2024-01-23,Morning_Routine,Found the interface intuitive and easy to navigate.,Negative,-0.6532383061214607,22.0,,Tablet,Transit,0.0
P0031,2024-01-09,Weekly_Summary,Experienced some lag during peak hours.,Neutral,0.0354754915334916,36.0,Usability,Mobile,Office,0.0
P0032,2024-01-04,Weekly_Summary,"Overall positive experience, would recommend.",Neutral,0.2406548176547304,57.0,Aesthetics,Desktop,Home,0.0
P0033,2024-01-23,Morning_Routine,Frustrated with the number of steps required.,Mixed,-0.17345238810257185,16.0,Emotional_Response,Desktop,Home,0.0
